pair_index,pointwise_sd,n_subsamples_covered
630,0.006714845725812804,3
631,0.04520494563177605,3
632,0.0022344548884712604,3
633,0.015611181443477971,3
634,0.0072630456494857405,3
635,0.012926961409740359,3
636,0.010844210938960845,3
637,0.00252424292266141,3
638,0.002539320543710613,3
639,0.01497155815690205,3
640,0.07657784798015067,3
641,0.012829955124748216,3
642,0.011137946168356961,3
643,0.016350724923608253,3
644,0.008548421752157342,3
645,0.007719881476728426,3
646,0.0040493436800615595,3
647,0.008427518647006518,3
648,0.005687945751928544,3
649,0.012360819613515097,3
650,0.004334134206196625,3
651,0.009000427235460818,3
652,0.005047797743358871,3
653,0.013018938046225,3
654,0.0011449331381503571,3
655,0.00755347994443401,3
656,0.008907610947719975,3
657,0.009030957891283022,3
658,0.018584529462294472,3
659,0.010134907936998967,3
660,0.00993044260206627,3
661,0.013552572436226361,3
662,0.005767345785949042,3
663,0.008558484555988833,3
664,0.009899579119482733,3
665,0.03743071797178633,3
666,0.04207576944109168,3
667,0.01041150345499118,3
668,0.014541104833348409,3
669,0.048201819080064316,3
670,0.014345085754825767,3
671,0.03850488411038905,3
672,0.037956954955804374,3
673,0.03742535118566371,3
674,0.010624540724676872,3
675,0.016254136350352544,3
676,0.04038300509571522,3
677,0.013835274539544154,3
678,0.011894507379866526,3
679,0.035439121439688796,3
680,0.008689834906821355,3
681,0.01316636367088904,3
682,0.03843907677369036,3
683,0.01226425733508318,3
684,0.039190088650535415,3
685,0.03960684879389896,3
686,0.09683242068649014,3
687,0.011390961764839893,3
688,0.009991709317227563,3
689,0.008559239347720444,3
690,0.2439098283293685,3
691,0.022346626738390364,3
692,0.04078672460252546,3
693,0.008306143194038388,3
694,0.0331197873200891,3
695,0.04284096238144606,3
696,0.04761678807321353,3
697,0.003674736628852291,3
698,0.04932263460516234,3
699,0.035457324717945986,3
700,0.04132145450085896,3
701,0.008240448363118389,3
702,0.027485325829465532,3
703,0.01602012101942451,3
704,0.03296541349997545,3
705,0.023986415587773504,3
706,0.016722680393216182,3
707,0.04195007578564161,3
708,0.02777457830166666,3
709,0.03931106126595096,3
710,0.015601930835682775,3
711,0.005479190359412335,3
712,0.003564922933194757,3
713,0.012637948086038634,3
714,0.016620046355782177,3
715,0.012466919364673729,3
716,0.0018007542755582306,3
717,0.01764896908988937,3
718,0.016884042053182405,3
719,0.020661781954264935,3
720,0.0038188870794304127,3
721,0.013472011433934717,3
722,0.011458365630957994,3
723,0.026405107807872443,3
724,0.01505319256007605,3
725,0.01095556012371085,3
726,0.008730482637908833,3
727,0.004542455242970145,3
728,0.02040843475261277,3
729,0.01072397218302869,3
730,0.0007783930757020799,3
731,0.003671076636292533,3
732,0.004870398048387903,3
733,0.01375508564278798,3
734,0.0034715201554617525,3
735,0.004706366260054079,3
736,0.0058833080139708656,3
737,0.013555591664015687,3
738,0.006368966907941012,3
739,0.012187732833424279,3
740,0.007935200059160942,3
741,0.009111573154176978,3
742,0.011401301250416959,3
743,0.02754299627656758,3
744,0.017408476475518863,3
745,0.027750972068958418,3
746,0.009735415509595589,3
747,0.0014143620622358317,3
748,0.010696221228520661,3
749,0.002386588333415892,3
750,0.003769375130235672,3
751,0.007064197803034982,3
752,0.03256829576768034,3
753,0.007944731355211091,3
754,0.0005126723780363999,3
755,0.010957542926026279,3
756,0.013527559969052364,3
757,0.0008034244173090315,3
758,0.015382536573567541,3
759,0.00260843585222661,3
760,0.004652022842550875,3
761,0.014493614238676287,3
762,0.0021001450154676067,3
763,0.00729678257739378,3
764,0.014701553440152608,3
765,0.0021200400729235055,3
766,0.014267939094812826,3
767,0.00804135884455416,3
768,0.0063789934215408356,3
769,0.008018220843350667,3
770,0.003566736061717729,3
771,0.0038943022966846396,3
772,0.006891782188856588,3
773,0.008641448967313715,3
774,0.0601285202097593,3
775,0.015232741228785159,3
776,0.014978373370075963,3
777,0.003176362225633,3
778,0.0014962581359208706,3
779,0.008535027474024423,3
780,0.008303636916472122,3
781,0.01010459659722252,3
782,0.005006599752653533,3
783,0.0041759151915123915,3
784,0.03512555110774974,3
785,0.007070509806177396,3
786,0.0018324566104714012,3
787,0.0023224478141581485,3
788,0.00718415228646499,3
789,0.0021757512710619143,3
790,0.00813707934102812,3
791,0.009264757971506117,3
792,0.003948214239955189,3
793,0.01076729636888358,3
794,0.017614875129734683,3
795,0.004579488298188324,3
796,0.004885718348726814,3
797,0.08231220729494361,3
798,0.00686736179204565,3
799,0.001725905019226925,3
800,0.008721650260384312,3
801,0.01202650646970933,3
802,0.0019940109989790454,3
803,0.005424063747733907,3
804,0.036882376618038656,3
805,0.009104908942519594,3
806,0.0041251926516320874,3
807,0.005460814930378664,3
808,0.009698076702371553,3
809,0.013132937559935281,3
810,0.0033191437763462044,3
811,0.0018634985190827322,3
812,0.00827881134894332,3
813,0.01145488303543668,3
814,0.0031690950615391434,3
815,0.002688697863051205,3
816,0.014420092057137086,3
817,0.0063586533508804164,3
818,0.0025519255575558748,3
819,0.01119578559183858,3
820,0.032646997049641586,3
821,0.005199875404807005,3
822,0.010106035342587262,3
823,0.02596792480768977,3
824,0.011411281665680869,3
825,0.00906779988871827,3
826,0.0037113752161846425,3
827,0.11477405019433373,3
828,0.004125796416633401,3
829,0.008635396806324221,3
830,0.0018956901843150346,3
831,0.007580013863631099,3
832,0.003039584210713399,3
833,0.009631967958047752,3
834,0.004561523223564283,3
835,0.0031219826124649517,3
836,0.0252823216424095,3
837,0.008055964323908604,3
838,0.0017773599554734602,3
839,0.007045992415364494,3
840,0.006095298113531331,3
841,0.006009430854138969,3
842,0.012686418604627716,3
843,0.021737731380586076,3
844,0.012812614046165635,3
845,0.020203003874678577,3
846,0.006510638261319572,3
847,0.011880549339447499,3
848,0.004263737076930194,3
849,0.008509456383039661,3
850,0.1341271131391838,3
851,0.0041002665795229175,3
852,0.00867874523021547,3
853,0.012654344696924492,3
854,0.007603130925733283,3
855,0.039318628767745833,3
856,0.009498557483806664,3
857,0.008687492278069569,3
858,0.01187966491765927,3
859,0.0061260983076474205,3
860,0.009670668586991074,3
861,0.003472652353513894,3
862,0.07246941109575138,3
863,0.002896989618867287,3
864,0.01049411449772089,3
865,0.004786201539149731,3
866,0.005199990636622886,3
867,0.008133389451895283,3
868,0.015792716179988685,3
869,0.006789604238928131,3
870,0.012299076527575769,3
871,0.03224255745980823,3
872,0.01054635282268258,3
873,0.020207222608229887,3
874,0.02210406588824869,3
875,0.002757014701002424,3
876,0.018914398786102685,3
877,0.00804290222115666,3
878,0.014234607454483576,3
879,0.018926403420219468,3
880,0.01442405649589535,3
881,0.008685500538095765,3
882,0.014474819689046696,3
883,0.018405609605179625,3
